venue,city,count(*)
"Palais Des Sports","Paris, FR",1
"Palais Des Sports","Paris, XF",1
"Paramount Northeast","Seattle, WA",1
"Paramount Northwest","Seattle, WA",1
"Paramount Northwest Theatre","Seattle, WA",2
"Paramount Theater","Portland, OR",4
"Paramount Theatre","Portland, OR",2
"Park West Ski Resort","Salt Lake City, UT",2
"Paterson State College","Paterson, NJ",1
"Patrick Field House (U of Vermont)","Burlington, VT",2
"Pauley Pavilion","U.C.L.A., Los Angeles, CA",1
"Pauley Pavilion","UCLA, Los Angeles, CA",1
"Pauley Pavilion (UCLA)","Los Angeles, CA",3
"Pavilion (U Illinois At Chicago)","Chicago, IL",3
"Performing Arts Center","Milwaukee, WI",2
"Pershing Municipal Auditorium","Lincoln, NB",1
"Philadelphia Civic Center","Philadelphia, PA",5
"Philadelphia Spectrum","Philadelphia, PA",4
"Pine Knob Music Theater","Clarkstown, MI",2
"Pine Knob Music Theatre","Clarkston, MI",2
"Pittsburg Civic Arena","Pittsburg, PA",1
"Pittsburgh Civic Arena","Pittsburgh, PA",4
"Playhouse Theater","Edinburgh, XS",1
"Polo Field","Golden Gate Park, San Francisco, CA",1
"Poplar Creek Pavilion","Poplar Creek, IL",2
"Portland Memorial Coliseum","Portland, OR",4
"Providence Civic Center","Providence, RI",16
"Public Hall","Cleveland, OH",1
"Queens College","New York, NY",1
"RFK Stadium","Washington, DC",8
"Raceway Park","Englishtown, NJ",1
"Radio City Music Hall","New York, NY",8
"Radio Luxembourg",LU,1
"Rainbow Theater","London, XE",8
"Rec Hall (Penn State U)","State College, PA",1
"Recreation Hall (UC Davis)","Davis, CA",1
"Red Rocks Amphitheater","Morrison, CO",19
"Reno Centennial Coliseum","Reno, NV",1
"Reunion Arena","Dallas, TX",1
Rheinhalle,"Dusseldorf, DE",1
"Rich Stadium","Buffalo, NY",1
"Rich Stadium","Orchard Park, NY",3
"Richfield Coliseum","Richfield, OH",11
"Richmond Coliseum","Richmond, VA",4
"River Bend Music Center","Cincinnati, OH",2
"River Front Coliseum","Cincinatti, OH",1
"Riverfront Arena","Cincinnati, OH",1
"Riverport Amphitheatre","Maryland Heights, MO",2
"Robert F. Kennedy Stadium","Washington, DC",4
"Robertson Gym (UC Santa Barbara)","Goleta, CA",1
"Rochester Silver Stadium","Rochester, NY",1
"Roosevelt Stadium","Jersey City, NJ",6
"Roscoe Maples Pavilion (Stanford U)","Palo Alto, CA",1
"Rosemont Horizon","Chicago, IL",5
"Rosemont Horizon","Chicago, Il",1
"Rosemont Horizon","Rosemont, IL",7
"Rubber Bowl","Akron, OH",1
"Rupp Arena (Lexington Center)","Lexington, KY",1
"Sacramento Memorial Auditorium","Sacramento, CA",1
"Saenger Performing Arts Center","New Orleans, LA",3
"Salt Palace","Salt Lake City, UT",2
"Sam Boyd Silver Bowl","Las Vegas, NV",6
"San Diego Sports Areana","San Diego, CA",2
"San Diego Sports Arena","San Diego, CA",2
"San Francisco Civic","San Francisco, CA",10
"San Jose State U.","San Jose, CA",1
"Sandstone Ampitheatre","Bonner Springs, KS",1
"Sandstone Aphitheatre","Bonner Springs, KS",2
"Santa Cruz County Fairgrounds","Watsonville, CA",1
"Santa Fe Downs","Santa Fe, NM",3
"Saratoga Performing Arts","Saratoga, NY",1
"Saratoga Performing Arts Center","Saratoga Springs, NY",3
"Saturday Night Live","NBC Studios, New York, NY",1
"Seattle Center Arena","Seattle, WA",1
"Seattle Center Coliseum","Seattle, WA",4
"Seattle Memorial Stadium","Seattle, WA",2
"Selland Arena","Fresno, CA",2
Shoreline,"Mountain View, CA",6
"Shoreline Amphitheater","Mountain View, CA",12
"Shoreline Ampitheatre","Mountain View, CA",12
"Shoreline Ampitheatre","Mountain View, MA",3
"Shrine Auditorium","Los Angeles, CA",5
"Shrine Exposition Hall","Los Angeles, CA",1
"Silva Hall (Hult Center)","Eugene, OR",6
"Silver Stadium","Rochester, NY",1
"Soldier Field","Chicago, IL",1
"Soldiers Field","Chicago, IL",4
"Soldiers' and Sailors' Memorial Hall","Kansas City, KS",1
"Son Et Lumiere Theater","Giza, XZ",3
"Southern Star Amphitheater","Houston, TX",1
"Spokane Coliseum","Spokane, WA",1
"Sports Halle","Hamburg, DE",1
"Sports Palace","Barcelona, XP",1
"Sports and Music Center","Indianapolis, IN",1
"Springer's Inn","Portland, OR",1
"Springfield Civic Center","Springfield, MA",6
"St. John's Arena (Ohio State Univ.)","Columbus, OH",1
"St. Louis Arena","St. Louis, MO",1
"St. Paul Civic Center","St. Paul, MN",5
"Stabler Arena (Lehigh U)","Bethlehem, PA",1
Stadium,"U.C.S.B., Santa Barbara, CA",1
"Stadt Halle","Bremen, XG",1
"Stanley Theater","Pittsburgh, PA",2
"Stanley Theatre","Jersey City, NJ",3
"Starlight Theater","Kansas City, MO",3
"State Fair Coliseum","Indianapolis, IN",1
"State Fairgrounds","Des Moines, IA",2
"State Fairgrounds","Lewiston, ME",1
"Stockton Civic Aud.","Stockton, CA",1
"Sullivan Stadium","Foxboro, MA",1
"Sullivan Stadium","Foxborough, MA",1
"Summit Arena","Houston, TX",1
"Sun Dome","Tampa, FL",1
"Swing Auditorium","San Bernardino, CA",3
"Tacoma Dome","Tacoma, WA",1
"The Ark","Boston, MA",2
"The Centrum","Worcester, MA",11
"The Civic Arena","Pittsburgh, PA",2
"The Dean Dome","University of NC, Chapel Hill, NC",2
"The Fabulous Forum","Inglewood, CA",1
"The Hippodrome","Paris, XF",1
"The I.C.C.","Berlin, DE",2
"The Matrix","San Francisco, CA",2
"The Mecca","Milwaukee, WI",2
"The Met Center","Bloomington, MN",1
"The Metropolitan Sports Center","Minneapolis, MN",1
"The Mosque","Richmond, VA",1
"The Omni","Atlanta, GA",17
"The Palace","Auburn Hills, MI",4
"The Palace Theater","Waterbury, CT",2
"The Palladium","New York, NY",5
"The Sam Boyd Silver Bowl","Las Vegas, NV",2
"The Scope","Norfolk, VA",1
"The Spectrum","Philadelphia, PA",41
"The Sportatorium","Hollywood, FL",4
"The Strand Lyceum","London, UK",4
"The Summit","Houston, TX",2
"The Zenith","Paris, FR",2
"Thelma Theatre","LA, CA",1
"Thompson Arena (Dartmouth College)","Hanover, NH",1
"Three Rivers Stadium","Pittsburgh, PA",1
"Tivoii Gardens","Copenhagen, DK",1
"Tivoii Theater","Copenhagen, DK",1
"Tivoli Theater","Copenhagen, DK",1
"Tower Theater","Upper Darby, PA",1
"Tower Theatre","Upper Darby, PA",3
"Town Park","Telluride, CO",2
"Trooper's Hall","Los Angeles, CA",1
"USAIR Arena","Landover, MD",2
"USAir Arena","Landover, MD",1
"Uni Dome (University of Northern Iowa)","Cedar Falls, IA",1
"Universal Amphitheatre","Universal City, CA",3
"University of Iowa","Iowa City, IA",2
"University of Nevada","Reno, NV",1
"University of New Mexico","Albuquerque, NM",1
"University of Virginia","Charlottesville, VA",1
Unknown,"Columbus, OH",1
Unknown,"Corvalis, OR",1
Unknown,"Las Vegas, NV",1
Unknown,"Milwaukee, WI",1
Unknown,"New Orleans, LA",1
Unknown,"Newcastle, England",1
Unknown,"Rochester, NY",1
Unknown,"San Antonio, TX",1
Unknown,"San Francisco, CA",1
Unknown,"Wichita, KS",1
"Uptown Theater","Chicago, IL",14
"Utica Memorial Auditorium","Utica, NY",1
"Vanderbilt University","Nashville, TN",1
"Ventura County Fairgrounds","Ventura, CA",11
"Veterans Memorial Auditorium","Columbus, OH",1
"Veterans' Memorial Coliseum","New Haven, CT",9
"Veterans' Memorial Coliseum ","Hartford, CT",1
"Veterans' Memorial Hall","Colombus, OH",1
"Virginia Polytechnic University","Blacksburg, VA",1
"Walter Koebel Halle","Russelsheim, XG",1
"War Memorial Aud.","Rochester, NY",1
"War Memorial Auditorium","Buffalo, NY",4
"War Memorial Auditorium","Rochester, NY",8
"Warfield Theater","San Francisco, CA",21
"Wembley Arena","London, UK",3
"West High Auditorium","Anchorage, AK",3
"William and Marry Hall","Williamsburg, VA",1
"William and Mary College","Williamsburg, VA",2
"William and Mary Hall","Williamsburg, VA",1
"Winteriand Arena","San Francisco, CA",3
Winterland,"San Francisco, CA",2
"Winterland Arena","San Francisco, CA",34
"World Music Theatre","Tinly Park, IL",3
"Zoo Amphitheater","Oklahoma City, OK",3
