Venue,City,Venue Count,Edit Venue,Edit City,Comments,,ct,st,ln st
Alligator Alley Gum (U of Florida),"Gainesville, FL",1,Alligator Alley Gym (U of Florida),,e,,Gainesville,FL,2
2,"Giants Stadium, East Rutherford, NJ",2,Giants Stadium (Meadowlands Sports Complex),,,,Giants Stadium,East,4
Son Et Lumiere Theater,"Giza, XZ",3,,,,,Giza,XZ,2
Glenns Falls Civic Center,"Glenns Falls, NY",3,,,,,Glenns Falls,NY,2
Polo Field,"Golden Gate Park, San Francisco, CA",1,,,,,Golden Gate Park,San,3
Campus Stadium (UC Santa Barbara),"Goleta, CA",2,,,ok,,Goleta,CA,2
Robertson Gym (UC Santa Barbara),"Goleta, CA",1,,,,,Goleta,CA,2
Grand Center,"Grand Rapids, MI",1,,,,,Grand Rapids,MI,2
Nevada County Fairgrounds,"Grass Valley, CA",1,,,,,Grass Valley,CA,2
Greensboro Coliseum,"Greensboro, NC",7,,,,,Greensboro,NC,2
Musikhalle,"Hamburg, DE",1,,,,,Hamburg,DE,2
Sports Halle,"Hamburg, DE",1,,,,,Hamburg,DE,2
Cotterrell Gym (Colgate U),"Hamilton, NY",1,,,,,Hamilton,NY,2
Copps Coliseum,"Hamilton, ON",2,,,,,Hamilton,ON,2
2,"Hampton Coliseum, Hampton, VA",2,Hampton Roads Coliseum,,e,,Hampton Coliseum,Hampton,7
Coliseum,"Hampton, VA",3,Hampton Roads Coliseum,,e,,Hampton,VA,2
Hampton Coliseum,"Hampton, VA",2,Hampton Roads Coliseum,,e,,Hampton,VA,2
Hampton Roads Coliseum,"Hampton, VA",13,,,ok,,Hampton,VA,2
Thompson Arena (Dartmouth College),"Hanover, NH",1,,,,,Hanover,NH,2
City Island,"Harrisburg, PA",2,,,,,Harrisburg,PA,2
Civic Center,"Hartford, CT",3,Hartford Civic Center,,e,,Hartford,CT,2
Colt Park,"Hartford, CT",1,,,,,Hartford,CT,2
Dillon Stadium,"Hartford, CT",2,,,,,Hartford,CT,2
Hartford Civic Center,"Hartford, CT",14,,,ok,,Hartford,CT,2
Veterans' Memorial Coliseum ,"Hartford, CT",1,,,,,Hartford,CT,2
Buckeye Lake Music Center,"Hebron, OH",3,,,ok,,Hebron,OH,2
Hershey Park Stadium,"Hershey, PA",1,,,,,Hershey,PA,2
Franklin County Airport,"Highgate, VT",1,,,,,Highgate,VT,2
Hollywood Bowl,"Hollywood, CA",1,,,,,Hollywood,CA,2
Hollywood Palladium,"Hollywood, CA",3,,,,,Hollywood,CA,2
The Sportatorium,"Hollywood, FL",4,,,,,Hollywood,FL,2
Hofheinz Pavilion,"Houston, TX",3,,,,,Houston,TX,2
Southern Star Amphitheater,"Houston, TX",1,,,,,Houston,TX,2
Summit Arena,"Houston, TX",1,,,,,Houston,TX,2
The Summit,"Houston, TX",2,,,,,Houston,TX,2
Huntington Civic Center,"Huntington, WV",1,,,,,Huntington,WV,2
Market Square Arena,"Indianapolis, IN",2,,,,,Indianapolis,IN,2
Sports and Music Center,"Indianapolis, IN",1,,,,,Indianapolis,IN,2
State Fair Coliseum,"Indianapolis, IN",1,,,,,Indianapolis,IN,2
Great Western Forum,"Inglewood, CA",3,,,,,Inglewood,CA,2
The Fabulous Forum,"Inglewood, CA",1,,,,,Inglewood,CA,2
University of Iowa,"Iowa City, IA",2,,,,,Iowa City,IA,2
Irvine Meadows,"Irvine, CA",3,,,,,Irvine,CA,2
Barton Hall (Cornell U),"Ithica, NY",3,,,ok,,Ithica,NY,2
Memorial Coliseum (State Fairgrounds),"Jackson, MS",1,,,,,Jackson,MS,2
Auditorium Coliseum,"Jacksonville, FL",1,Jacksonville Veterans Memorial Coliseum,,e,,Jacksonville,FL,2
Roosevelt Stadium,"Jersey City, NJ",6,,,,,Jersey City,NJ,2
Stanley Theatre,"Jersey City, NJ",3,,,ok,,Jersey City,NJ,2
Soldiers' and Sailors' Memorial Hall,"Kansas City, KS",1,,,,,Kansas City,KS,2
Arrowhead Stadium,"Kansas City, MO",1,,,ok,,Kansas City,MO,2
